Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B01432,TOVAR TRANSPORTATION INC,,2022,5,May,1717,0,10
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2017,6,June,479,0,8
B01445,J T TRANS CO INC,,2019,2,February,5418,0,74
B02839,YERUSHALAYIM CAR&LIMO INC,,2020,2,February,698,0,3
B02732,KESHES INC,,2017,11,November,4022,0,31
B02688,KJ TRANSPORTATION,,2015,4,April,299,0,20
B00160,JAFFA CAR & LIMO SVC INC,,2018,8,August,2069,0,13
B00385,DELINCE CAR LIVERY SERVICE CORP.,WHITE TOP CAR SERVICE,2018,6,June,1204,0,5
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2017,7,July,14182,0,118
B02737,BWJ GROUP INC,,2022,1,January,893,0,5
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2020,10,October,4704,0,52
B03144,JUST A MOMENT CAR SERVICE INC,,2019,4,April,524,0,10
B00254,XYZ TWO WAY RADIO,,2017,12,December,16017,0,258
B00457,PREMIUM BRONX CORP,,2017,2,February,23699,0,206
B02401,NORTHSIDE BK LLC,,2020,2,February,2896,0,47
B02653,NEW COLLEGE CAR SVCE INC,,2016,12,December,17496,0,86
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,,2016,3,March,900,0,4
B01626,LA NUEVA QUISQUEYA C/S INC,,2015,10,October,43599,0,173
B02133,"TWR CAR & LIMO, INC.",,2018,2,February,14229,0,161
B01811,IVOIRE LIMO INC.,,2016,7,July,1176,0,39
B02517,LOS PAISANOS LUXURY C/S INC.,,2016,7,July,409,0,11
B03312,ACK TRANSPORTATION CORP.,,2021,4,April,9,0,3
B01469,"BROTHERS CAR SERVICE, INC.",,2021,7,July,6069,0,39
B03156,EPIC CAR SERVICE INC.,,2020,10,October,1181,0,10
B00932,NATASHAS GRP CAR CORP,,2019,10,October,1275,0,8
B01109,UNITED EXP C/L SVCE,,2017,11,November,10658,0,104
B02397,CHICO EXPRESS CORP. 2,,2021,8,August,109,0,1
B02191,US LIMO SYSTEM INC,,2018,12,December,468,0,21
B01625,GLOBE CAR SERVICE INC,,2017,2,February,1894,0,5
B02315,LA MORENITA CAR LIMO SERVICE INC,,2018,8,August,2249,0,9
B01328,DV LUXURY CAR SERVICE INC,RIDE SAFE CAR SERVICE,2016,1,January,1078,0,86
B02491,CALL THREES LLC,,2015,10,October,1829,0,8
B02339,SEDANZ INC.,,2020,10,October,62,0,7
B02848,V R WORLDWIDE INC,,2019,4,April,52,0,2
B02447,LUIGI MEMO INC.,VIEW,2018,4,April,54,0,19
B03128,RIDE SMART CORP.,,2019,8,August,698,0,12
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2016,1,January,240,0,9
B03051,VILLE DE LA LIBERTE CHAUFFEUR INC,,2017,12,December,2132,0,7
b01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2016,4,April,2290,0,14
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2017,4,April,3215,0,14
B02814,BELL LX INC,,2020,1,January,6766,0,33
B00900,BIG Q CAR SVC. INC.,,2019,5,May,34180,0,123
B00149,RAINBOW RAD DISP INC,,2022,6,June,3628,0,16
B01340,UNICAR COMPANY INC,,2020,3,March,8649,0,55
B01341,A NEW DAY RAD DISP INC,,2017,6,June,4915,0,34
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2019,3,March,80,0,6
B01194,440 CAR SERVICE INC.,,2017,4,April,8485,0,37
B03064,AP LUXURY LIMOUSINE INC,,2021,10,October,82,0,6
B00225,DELANCEY TRANSPORTATION INC.,,2017,5,May,13511,0,69
B00446,COMMUNICAR INCORPORATED,,2017,5,May,4868,0,108
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2019,3,March,2811,0,57
B01777,PREMIUM RADIO DISP & MULTI SVC,,2020,7,July,3582,0,43
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2020,6,June,14,0,1
B02207,"EASTERN LUXURY, INC.",,2021,8,August,3,0,2
B02897,FC LIMOUSINE INC,,2019,10,October,949,0,31
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2015,11,November,65,0,16
B03012,MEGA LIMO SERVICES INC.,,2018,2,February,1835,0,10
B02881,DIANE CAR AND LIMO SERVICE LLC,,2018,4,April,4219,0,37
B01315,"V.I.T. CAR SERVICE, INC.",,2017,5,May,27479,0,119
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2019,4,April,391,0,12
B02509,NY MINUTE CAR SERVICE INC.,,2021,8,August,3387,0,21
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2017,7,July,201,0,19
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2015,10,October,3002,0,14
B00919,HARLEM CARS INC.,,2017,12,December,11194,0,61
B00419,KOOP DISPATCHING INC.,,2018,11,November,337,0,11
b00984,P J CAR SVCE,,2016,1,January,2721,0,11
B01444,REGO PARK EXPRESS INC.,,2019,4,April,3456,0,13
B00837,CAREY LIMO N Y INC,,2017,10,October,11820,0,224
B01061,DAT RADIO DISP INC,,2017,3,March,63740,0,231
B03073,"TRANSMEDI, LLC",,2019,2,February,131,0,2
B03110,BETTER CAR & LIMOUSINE SERVICE INC,BELTWAY CAR SERVICE,2019,6,June,490,0,6
B03338,A & T NYC LIMO LLC,,2021,10,October,76,0,1
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2018,9,September,1436,12,33
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2018,11,November,449,0,25
B01065,EL BARRIO'S CAR SERVICE LLC,,2018,2,February,9570,0,64
B00325,CONTINENTAL RADIO DISPATCH CORP.,,2017,2,February,1059,0,15
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2021,4,April,857,0,3
B02331,"CHICO EXPRESS LIMO, INC.",,2018,3,March,1530,0,6
B02217,PCS LIMOUSINE INC.,,2018,9,September,386,0,10
B00859,PROMENADE CAR LEASE INC,,2016,2,February,941,0,9
B02594,FENIX MOBILE DISPATCHERS LTD,,2016,10,October,1774,0,7
B02021,EASYRIDE CAR SERVICE INC.,,2017,5,May,1616,0,7
B01124,COOPERATIVA CLBNA DE CON INC,,2019,10,October,2166,0,36
B02331,"CHICO EXPRESS LIMO, INC.",,2017,4,April,2337,0,10
B01016,810 CAR SVCE CORP,,2016,10,October,18361,0,76
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2016,2,February,59134,0,769
B01386,FENIX PREMIUM CORP.,,2016,9,September,16103,0,67
LYFT,LYFT,LYFT,2019,3,March,4696685,1147502,52436
B02646,"E CARS & LIMO SERVICE, INC.",,2015,9,September,2368,0,58
B02658,ASCONA CAR SERVICE INC.,,2015,10,October,247,0,3
B02453,MCW CAR & LIMO INC.,,2018,11,November,36,0,8
B03270,ABI GROUP LUXURY INC.,,2021,8,August,76,0,8
B02651,SAROS TRANSPORTATION GROUP INC.,,2018,5,May,238,0,17
B03069,"HINOMARUNY INTERNATIONAL,INC",,2018,3,March,1054,0,39
B01559,MUNKACS CAR SVC LTD,,2017,9,September,5022,0,18
B01066,DOMINICANA RAD DISP INC,,2018,9,September,6872,0,45
B02432,VIAMAX SERVICE STATION & CAR SERVICE CORP,,2015,10,October,529,0,5
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2022,6,June,3341,0,25
B02715,GROUNDANYWHERE LLC,,2017,5,May,17454,0,609
B00013,LOVE CORPORATE CAR INC,,2016,2,February,7607,0,129
B02339,SEDANZ INC.,,2018,10,October,167,0,7
B03030,Q-FIRST LIMOUSINE CORP.,,2018,6,June,149,0,10
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2020,3,March,176,0,14
B01445,J T TRANSPORTATION CO INC,,2020,3,March,1457,0,65
B00459,910 CAR SERVICE INC,,2016,6,June,9951,0,55
B00608,SUMMIT CORPORATE CAR INC.,,2016,1,January,2611,0,46
B02664,CORPORATE CAR LTD.,,2021,1,January,22,0,9
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2016,3,March,1517,0,18
B01854,EUROPE LIMOUSINE SERVICE INC,,2021,11,November,1534,0,131
B01118,INTERNATIONAL CAR SERVICE INC.,,2017,6,June,674,0,9
B01984,NY 88 EXPRESS CORP.,,2018,4,April,29214,0,147
B00860,SEAMAN RADIO DISPATCHERS INC,,2020,1,January,12175,0,70
B02825,GUADALUPANA II CAR & LIMO INC,,2016,5,May,2196,0,8
UBER,UBER,UBER,2019,4,April,15657427,2520648,78257
B01379,J.J.S. TRANSPORTATION CO. INC.,GRANT CITY CAR SVC,2016,7,July,1251,0,12
B02803,OUTSIDE'S CAR SERVICE INC.,,2021,8,August,11677,0,23
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2020,10,October,427,0,20
B01875,ON LINE LIMOUSINE LLC,,2016,8,August,2221,0,55
B01436,NEW PRONTO TRANSP INC,,2018,8,August,681,0,13
B02391,"BAYRIDGE EXPRESS, INC",,2022,1,January,860,0,9
B02947,"ONIX TRANSPORTATION, INC",,2017,12,December,7024,0,51
B00254,XYZ TWO WAY RADIO,,2016,11,November,19307,0,285
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2015,12,December,29944,0,140
B01854,EUROPE LIMOUSINE SERVICE INC,,2019,12,December,2385,0,156
B01957,"ANIMO, INC",CHRIS LIMOUSINE U.S.A.,2018,10,October,39,0,1
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2017,5,May,357,0,3
B01625,GLOBE CAR SERVICE INC,,2017,11,November,1374,0,4
B01273,PUERTO RICO CAR SERVICE INC.,,2015,5,May,2409,0,9
B02782,NEW APP CAR & LIMO INC,,2015,9,September,365,0,11
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,2018,1,January,366,0,9
B01537,S.I. SPEED INC.,,2020,1,January,1777,0,6
B00381,BELL RADIO INC,,2015,12,December,6525,0,127
B01623,JAMAICA EXPRESS CAR SERVICE INC.,SUNSHINE CAR SERVICE,2016,6,June,2092,0,10
B03104,GCC TRANSPORTATION LLC.,,2021,10,October,2800,0,8
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2019,5,May,179,0,6
B02594,FENIX MOBILE DISPATCHERS LTD,,2022,1,January,792,0,3
B02060,AMERICAN LIMOUSINE LLC,RMA WORLDWIDE CHAUFFEUR SERVICE,2020,12,December,320,0,9
B01045,CAPRICE CAR SERVICE NO.2 INC.,,2016,4,April,6188,0,41
B01065,EL BARRIO'S CAR SERVICE LLC,,2019,6,June,9695,0,72
B01470,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2017,9,September,2906,0,30
B00619,"HOLA CAR SERVICE,INC.",,2022,6,June,343,0,5
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2018,9,September,1385,0,54
B00653,ROYAL CAR & LIMO SERVICE INC.,,2019,8,August,1632,0,7
B00889,MEXICANA CAR SERVICE INC.,,2022,1,January,1858,0,11
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2015,8,August,6182,0,30
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2015,10,October,67635,0,1432
B02760,VISMAR RADIO DISPATCH INC.,,2016,6,June,36,0,6
B03012,MEGA LIMO SERVICES INC.,,2018,10,October,2267,0,13
B01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,2018,11,November,351,0,5
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2021,2,February,22,0,5
B01437,MERENGUE LIMO & C/S INC,,2021,1,January,16547,0,94
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2016,6,June,10423,0,181
B00608,SUMMIT CORPORATE CAR INC.,,2017,2,February,1740,0,42
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2020,12,December,17532,0,110
B02573,SUNSET PARK CAR SERVICE INC,,2016,5,May,4104,0,19
B02760,VISMAR RADIO DISPATCH INC.,,2020,9,September,30,0,3
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,2017,9,September,291,0,6
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2016,11,November,10084,0,62
B02798,"JC'S TRANSPORTATION NETWORK, INC.",,2015,8,August,363,0,7
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2021,7,July,2409,0,18
B03359,VJVM CAR SERVICE INC,,2021,10,October,514,0,5
B02217,PCS LIMOUSINE INC.,,2017,8,August,395,0,11
B01537,S.I. SPEED INC.,,2021,9,September,1009,0,3
B01259,THE NEW BROOKLYN C/S INC,,2021,2,February,1755,0,9
B01016,810 CAR SVCE CORP,,2020,12,December,6329,0,30
B02898,SANO CAR LLC,,2017,4,April,2413,0,22
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2021,6,June,54,0,4
B03046,"BEL-LINDA, INC",ISLANDER TRANS,2021,12,December,2255,0,20
B02110,"OPTIMUM CAR & LIMO, INC.",,2017,7,July,1142,0,6
B00821,ATLANTIC CAR SVCE,,2016,9,September,23723,0,116
B00556,SURREY CADILLAC LIMO SVC INC,,2015,11,November,1223,0,28
B00225,DELANCEY TRANSPORTATION INC.,,2019,5,May,5364,0,32
B01469,"BROTHERS CAR SERVICE, INC.",,2022,1,January,5016,0,37
B02217,PCS LIMOUSINE INC.,,2020,8,August,2,0,1
B01907,BEN'S LUXURY CAR & LIMOUSINE SERVICE INC,,2021,6,June,787,0,18
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2020,7,July,419,0,5
B01751,CONCORDE EXP OF N.Y. INC,,2019,3,March,2749,0,10
B00325,CONTINENTAL RADIO DISPATCH CORP.,,2018,11,November,600,0,5
B03361,D MANNY SAFE RIDE CORP.,,2022,3,March,149,0,2
B00401,TREMONT DISPATCHING CORP,,2017,9,September,488,0,6
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2021,12,December,1354,0,9
B01492,MOBILE #1 CAR SERVICE INC.,,2018,12,December,28,0,6
B03055,EXPLORER EXPRESS INC,,2020,6,June,595,0,16
B01259,THE NEW BROOKLYN C/S INC,,2015,11,November,40472,0,127
B02011,EXECUTIVE TOWN CAR & LIMO CORP.,,2017,9,September,244,0,11
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,2016,10,October,18,0,3
B01282,NEW LOTS C/S INC,,2020,8,August,7794,0,57
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,2016,2,February,1360,0,31
B01801,SHUTTLEUP LLC,HENRY LIMOUSINE,2016,5,May,1021,0,23
B02243,BARONAS LUXURY II INC,,2017,6,June,6489,0,88
B02243,BARONAS LUXURY II INC,,2016,12,December,1793,0,15
B01871,"ALPINE LIMOUSINE SERVICE, INC.",,2020,9,September,1539,0,59
B03017,SDR TRANSPORTATION CORP.,,2021,7,July,2647,0,21
B00318,APPLE RADIO CARS INC,,2016,8,August,7723,0,52
B01029,ZION CAR SERVICE INC.,,2022,2,February,547,0,3
B02814,BELL LX INC,,2019,6,June,9153,0,29
B01527,NEW FAMILY RAD DISP INC,,2021,9,September,535,0,8
B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,2016,6,June,609,0,2
B03064,AP LUXURY LIMOUSINE INC,,2018,10,October,432,0,8
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2018,5,May,1053,0,15
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,2018,12,December,7,0,1
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2020,12,December,162,0,57
B03171,HIGHLAND TRANSPORTATION MANAGEMENT CORP.,,2020,9,September,5065,0,42
B02110,"OPTIMUM CAR & LIMO, INC.",,2022,4,April,802,0,5
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2019,8,August,1014,0,6
B00419,KOOP DISPATCHING INC.,,2018,9,September,882,0,13
B01738,SAETA CAR SERVICE INC.,,2015,10,October,2204,0,15
B02346,PIA CAR LIMO. INC.,,2018,4,April,74,0,4
B02634,VETERANS RADIO DISPATCHER CORP.,,2016,6,June,34857,0,448
B01091,A & R GOLDEN EXP INC,,2020,4,April,1916,0,6
B03007,THE NEW SPANISH CAR & LIMO INC,,2019,10,October,173,0,9
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,2017,9,September,29,0,4
B01145,ULTRA RADIO DISP INC,,2017,10,October,17670,0,103
B02355,BWJ GROUP INC,,2018,2,February,1088,0,5
B01436,NEW PRONTO TRANSP INC,,2016,7,July,1641,0,24
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2016,9,September,1150,0,4
B02273,BENI'S LIMOUSINE SERVICE INC,,2019,12,December,20,0,5
B01146,CHURCH AVE C/S INC,,2017,9,September,9771,0,41
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,2018,1,January,3078,0,105
B02429,SEAGULL RIDE CORP,,2017,4,April,3827,0,9
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2016,10,October,51276,0,200
B00475,RIDGE TRANSPORTATION CORP.,,2016,3,March,4056,0,20
B02849,BROOKLYN RIDES CORP,,2020,6,June,11780,0,76
B01846,ROMANTIQUE LIMOUSINE INC.,,2019,3,March,22,0,8
B01963,AFRO CAR SERVICE CORP,,2019,10,October,1361,0,9
B02799,CHURCH AVENUE EXPRESS INC,,2018,11,November,1493,0,6
B02287,ROAD NEW YORK ENTERPRISES INC.,DAI-ICHI LIMOUSINE,2016,5,May,165,0,7
B03324,PORT RICHMOND BLACK CAR INC.,,2021,12,December,189,0,2
B01146,CHURCH AVE C/S INC,,2019,8,August,6293,0,28
B01362,AMERICAN BASE NO.1 INC.,,2021,8,August,2828,0,15
B01454,FREEDOM LIMO & CAR SERVICE,,2018,11,November,6201,0,30
B01194,440 CAR SERVICE INC.,,2016,5,May,11605,0,50
B02811,M.L TRIPS CORP.,,2020,2,February,632,0,22
B02416,"NEW STORM CAR SERVICE, INC.",,2016,6,June,9293,0,16
B02694,CITY LIMOUSINE TRANSPORTATION INC.,,2016,3,March,161,0,17
B03349,RIDGEWAY TRANSIT INC,,2021,6,June,884,0,9
B00412,NYC 2 WAY INTERNATIONAL LTD,,2022,2,February,5048,0,72
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2022,5,May,1868,0,9
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2017,3,March,11181,0,110
B00552,HINO-MARU ENTERPRISES INC.,,2015,11,November,1152,0,52
B02852,OP CAR SERVICE INC.,,2018,8,August,854,0,7
B02034,NEW IMPERIAL CAR SERVICE INC,,2016,6,June,1868,0,12
B02301,DOUBLE A CAR SERVICE INC.,UNITED CARS,2021,5,May,219,0,2
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2020,2,February,64,0,7
B02339,SEDANZ INC.,,2017,8,August,144,0,8
B01259,THE NEW BROOKLYN C/S INC,,2018,8,August,14673,0,50
B00202,"EXCELSIOR CAR & LIMO, INC.",,2021,11,November,46,0,2
B03052,PROGRESIVE LIMOS INC.,,2018,4,April,1996,0,14
B03292,PIBE TRANSPORTATION INC.,,2021,5,May,135,0,4
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2021,2,February,25,0,3
B02096,"CET GROUP, INC",,2021,8,August,122,0,39
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2021,3,March,2247,0,14
B03226,PAXXIA LUXURY CORP.,,2022,4,April,1307,0,8
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2020,12,December,40,0,4
B03032,A & S LIMOUSINE SERVICE CORP,,2017,9,September,8295,0,59
B03160,"CURB TRANSPORTATION SERVICES,LLC",CURB MOBILITY-CURB TRANS,2021,7,July,13682,0,328
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2019,4,April,5398,0,28
B01282,NEW LOTS C/S INC,,2021,8,August,2927,0,18
B02228,SPECIAL RADIO DISP.CORP.,,2016,7,July,2844,0,21
B00727,RECHEV OF BROOKLYN INC,,2018,8,August,1401,0,5
B02898,SANO CAR LLC,,2016,5,May,2065,0,15
B02809,NBT TRANSPORTATION INC,,2017,4,April,1738,0,16
B02550,AGAPE LUXURY CORP.,,2022,1,January,10030,0,117
B01625,GLOBE CAR SERVICE INC,,2016,3,March,2410,0,6
B00111,SKYLINE CREDIT RIDE INC,,2022,5,May,3268,0,127
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2016,10,October,32430,0,175
B02728,NEWTOWN PRIVATE CAR SERVICE INC.,,2015,10,October,5346,0,24
B03047,"STS LUXURY, INC",,2020,8,August,1498,0,32
B00608,SUMMIT CORPORATE CAR INC.,,2019,12,December,988,0,25
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2019,9,September,2370,0,6
B01339,R C AUDUBON SVC INC,,2017,2,February,13371,0,110
B01194,440 CAR SERVICE INC.,,2020,4,April,45,0,3
B00850,UPTOWN TRANSIT CORP,,2020,12,December,87,0,2
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2020,12,December,723,0,20
B01537,S.I. SPEED INC.,,2021,1,January,1040,0,3
B02814,BELL LX INC,,2018,8,August,6542,0,25
B01318,LOWER EAST SIDE C/S CORP,,2020,5,May,377,0,9
B01413,SFL INC,,2020,5,May,68,0,8
B02838,THA MAYA CAR SERVICE INC,,2022,5,May,1295,0,13
B02509,NY MINUTE CAR SERVICE INC.,,2021,9,September,3117,0,25
B01146,CHURCH AVE C/S INC,,2017,11,November,10057,0,46
B01492,MOBILE #1 CAR SERVICE INC.,,2022,5,May,260,0,3
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2016,12,December,5422,0,41
B02797,CJ LIMOUSINE LLC,,2017,6,June,459,0,12
B03338,A & T NYC LIMO LLC,,2022,3,March,6,0,1
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2017,11,November,5538,0,21
B02292,NEW YORK APPLE V.I.P. CORP,,2018,12,December,1240,0,10
B02921,"GRAVITAS PRIMO,LLC",,2020,7,July,3,0,2
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2019,1,January,1462,0,13
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2017,1,January,6153,0,37
B00446,COMMUNICAR INCORPORATED,,2019,11,November,2862,0,77
B00556,SURREY CADILLAC LIMO SVC INC,,2018,2,February,559,0,17
B03293,A & Z LUXURY LIMOUSINE TRANSPORATION INC.,,2021,6,June,14,0,2
B02249,"LA RAZA CAR SERVICE, INC.",,2019,11,November,1725,0,11
B02924,CELEBRITY LUXURY INC.,,2021,2,February,17,0,10
B02552,INTERSTATE LUXURY LIMOUSINES INC.,,2017,10,October,2150,0,11
B01190,NEW BELL CAR SERVICE CORP,,2016,11,November,11572,0,73
b02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2017,4,April,67,0,9
B02145,NEW 2020 CAR SERVICE INC,,2017,8,August,1257,0,8
B02461,NEW HEAVEN RADIO DISPATCH CORP,,2018,5,May,6487,0,71
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2016,6,June,13892,0,129
B01726,SUPER CLASS RADIO DISP INC,,2015,9,September,25465,0,178
B00991,BLUE LANE CAR SERVICE INC,,2019,6,June,183,0,11
B03093,HAMPTON'S TRANSPORTATION SERVICE INC.,,2019,6,June,23,0,5
B02925,SIGNATURE BLACK CAR LLC,,2019,12,December,556,0,16
B03015,TRI-COUNTY BLACK CARS INC,,2020,1,January,2553,0,11
B02980,ADVANTAGE LIMO OF NY INC,,2016,12,December,1097,0,6
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,2020,6,June,225,0,3
B02942,FANNY RADIO DISPATCHER SERVICE INC.,,2018,11,November,619,0,8
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2018,6,June,14166,0,72
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,N.Y. MEXICANA CAR SERVICE,2019,1,January,2241,0,18
B03284,MYLE WORLDWIDE INC,,2021,5,May,8790,0,118
B01522,"STM ENTERPRISES,INC",JAVA CAR & LIMOUSINE SERVICE,2016,4,April,1999,0,16
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,2016,1,January,665,0,27
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2018,6,June,3755,0,38
B00860,SEAMAN RADIO DISPATCHERS INC,,2015,8,August,51968,0,259
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2018,2,February,14978,0,116
B01263,"RACHEL'S CAR SERVICE,INC.",,2017,9,September,5243,0,19
B00937,RIVERSIDE RADIO DISPATCHER,,2021,12,December,10775,0,62
B02245,OCEANA CAR AND LIMO,,2019,4,April,1624,0,6
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2018,4,April,18400,0,90
B02373,QUIET SERVICES INC,GOLDEN CLASS LIMO,2017,6,June,173,0,8
B03206,KIDMOTO TECHNOLOGIES LLC,,2019,8,August,172,0,18
B01280,BENSONHURST RIDE INC.,,2020,12,December,1085,0,7
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2018,1,January,3832,0,18
B00202,"EXCELSIOR CAR & LIMO, INC.",,2018,10,October,284,0,7
B00821,ATLANTIC CAR SVCE,,2016,1,January,25742,0,140
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2018,10,October,5673,0,34
B00001,LONDON TOWNCARS INC,,2015,9,September,2176,0,38
B00459,910 CAR SERVICE INC,,2020,8,August,357,0,11
B00208,ERNEST SCHWARZ INC,,2016,10,October,289,0,6
B00647,KISS CAR SERVICE INC,,2019,12,December,28206,0,124
B00948,510 CAR SERVICE CORP,,2022,5,May,943,0,6
B02905,PUEBLA LUXURY CORP,,2017,9,September,10765,0,48
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2021,1,January,445,0,96
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2018,1,January,6006,0,25
B02173,ADMIRE LLP LLC,,2020,1,January,84,0,4
B02022,GOLD SEAL CAR & LIMO INC.,,2016,2,February,837,0,27
B02103,A & S LIMOUSINE SERVICE CORP,,2021,8,August,125,0,3
B01389,METRO LUXURY INC,,2017,9,September,11827,0,194
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2021,3,March,998,0,6
B00856,BEE-BEE CAR SERVICE INC.,,2015,3,March,23963,0,74
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2018,4,April,8146,0,19
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2021,7,July,5462,0,26
B02912,FIRST CLASS LUXURY INC,,2017,1,January,1975,0,13
B02736,TRINITY CAR SERVICE INC,,2017,10,October,751,0,11
B02389,"EMBARQUE N.Y., INC.",,2015,9,September,1450,0,14
B02614,MEXICO LA  NEW POBLANITA EXPRESS INC.,,2016,7,July,4446,0,26
B01726,SUPER CLASS RADIO DISP INC,,2016,6,June,24764,0,155
B00856,BEE-BEE CAR SERVICE INC.,,2017,7,July,12783,0,66
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2018,5,May,3780,0,72
B01250,BELLE MANAGEMENT CORP.,GLEN BELLE CAR SERVICE,2019,1,January,466,0,15
B02970,FLYTE LINE TRANSPORTATION LLC,ADDISON LEE,2017,6,June,2021,0,102
B01326,DEBORAH C/L SVC INC,,2019,2,February,111,0,22
