License Number,Entity Name,Telephone Number,SHL Endorsed,Building,Street,City,State,Postcode,Type of Base,Latitude,Longitude,Date,Time,Location
B03445,INWOOD CAR AND LIMO INC,2034479265,No,2320,HUGHES AVENUE  SUITE #2,BRONX,NY,10458,BLACK CAR BASE,40.8536206,-73.8874724,07/12/2023,18:00:13,"(40.8536206, -73.8874724)"
B03504,ABT CHAUFFEUR SERVICES LLC,2126319970,No,10,WEST   66 STREET,NEW YORK,NY,10023,LUXURY/LIMOUSINE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B03061,BLUE EAGLE TRANSPORTATION SERVICES CORP,7184838388,No,325,SOUNDVIEW AVENUE  FLOOR 1,BRONX,NY,10473,BLACK CAR BASE,40.8120359,-73.8567379,07/12/2023,18:00:13,"(40.8120359, -73.8567379)"
B02852,OP CAR SERVICE INC.,7186598888,No,90-19,LIBERTY AVENUE,OZONE PARK,NY,11417,BLACK CAR BASE,40.680275,-73.848047,07/12/2023,18:00:13,"(40.680275, -73.848047)"
B03157,CAPRICE CAR SERVICE CORP.,7184249300,No,54 - 04,ROOSEVELT AVENUE,WOODSIDE,NY,11377,BLACK CAR BASE,40.7446671,-73.9103946,07/12/2023,18:00:13,"(40.7446671, -73.9103946)"
B03153,GYPSY TRANSPORTATION CORP.,7186171111,No,1684,GLEASON AVENUE,BRONX,NY,10472,BLACK CAR BASE,40.829157,-73.8709757,07/12/2023,18:00:13,"(40.829157, -73.8709757)"
B02160,"12TH STREET LUXURY CARS, INC.",3479240045,No,35-58,12 STREET,LIC,NY,11106,BLACK CAR BASE,40.761054,-73.93929,07/12/2023,18:00:13,"(40.761054, -73.93929)"
B00014,NY ONE CORP CAR INC,7184387474,No,41-24,38TH STREET,L.I.C.,NY,11101,BLACK CAR BASE,40.638477,-73.983333,07/12/2023,18:00:13,"(40.638477, -73.983333)"
B01087,ELITE LIMO PLUS INC,7184722300,No,32-72,GALE AVENUE,LIC,NY,11101,BLACK CAR BASE,40.737893,-73.933857,07/12/2023,18:00:13,"(40.737893, -73.933857)"
B02005,CAR LINE TRANSPORTATION CORP.,7187292222,No,43-39,21 STREET  SUITE 203,LIC,NY,11101,BLACK CAR BASE,40.749703,-73.945981,07/12/2023,18:00:13,"(40.749703, -73.945981)"
B02972,BLESSING TRANSPORTATION GROUP INC,9174737373,No,1890,RANDALL AVE,BRONX,NY,10473,BLACK CAR BASE,40.830852,-73.881796,07/12/2023,18:00:13,"(40.830852, -73.881796)"
B02950,WMC SERVICE INC,5169435140,No,2130,CATON AVENUE,BROOKLYN,NY,11226,BLACK CAR BASE,40.735543,-73.934785,07/12/2023,18:00:13,"(40.735543, -73.934785)"
B02491,CALL THREES LLC,2123333333,No,335,BOND STREET,BROOKLYN,NY,11231,LIVERY BASE,40.678782,-73.989979,07/12/2023,18:00:13,"(40.678782, -73.989979)"
B03191,GUILLEN TRANSPORTATION SERVICES INC,3476944943,No,955,SOUNDVIEW AVENUE  2ND FLOOR OFFICE #2,BRONX,NY,10473,BLACK CAR BASE,40.8158019,-73.9184149,07/12/2023,18:00:13,"(40.8158019, -73.9184149)"
B03120,ABIX TRANSPORTATION CORP,7186842224,No,7,SKYLINE DRIVE,HAWTHORNE,NY,10532,BLACK CAR BASE,41.0904852,-73.813189,07/12/2023,18:00:13,"(41.0904852, -73.813189)"
B00850,UPTOWN TRANSIT CORP,7189932800,No,961,WASHINGTON AVENUE,BRONX,NY,10456,LIVERY BASE,40.825287,-73.91052,07/12/2023,18:00:13,"(40.825287, -73.91052)"
B00972,N.J.M.INC.,7189672500,No,5230,ARTHUR KILL ROAD,STATEN ISLAND,NY,10307,LIVERY BASE,40.546918,-74.23034,07/12/2023,18:00:13,"(40.546918, -74.23034)"
B00948,510 CAR SERVICE CORP,7184857575,No,2225,PITKIN AVENUE,BROOKLYN,NY,11207,LIVERY BASE,40.672911,-73.890252,07/12/2023,18:00:13,"(40.672911, -73.890252)"
B02311,FAST CITY CAR & LIMO SVC INC.,7182820973,No,3616,CHURCH AVENUE,BROOKLYN,NY,11203,LIVERY BASE,40.650862,-73.943113,07/12/2023,18:00:13,"(40.650862, -73.943113)"
B02978,ONYX 1 INC,5168844782,No,1225,FRANKLIN AVE  325,GARDEN CITY,NY,11530,BLACK CAR BASE,40.7340743,-73.6354595,07/12/2023,18:00:13,"(40.7340743, -73.6354595)"
B01540,ROCKAWAY VIP SERVICE INC.,7186591111,No,122-21,ROCKAWAY BOULEVARD,SO. OZONE PARK,NY,11420,LIVERY BASE,40.675938,-73.815393,07/12/2023,18:00:13,"(40.675938, -73.815393)"
B02389,"EMBARQUE N.Y., INC.",7187770890,No,24 - 59,47TH STREET,ASTORIA,NY,11103,LUXURY/LIMOUSINE,40.741147,-73.942306,07/12/2023,18:00:13,"(40.741147, -73.942306)"
B03444,ASSURE CAR & LIMO INC.,9294330433,No,214-85,JAMAICA AVENUE,JAMAICA,NY,11428,BLACK CAR BASE,40.7172982,-73.7410516,07/12/2023,18:00:13,"(40.7172982, -73.7410516)"
B03507,GOLDEN BIRD LIMOUSINES LLC,9179836220,No,103,N. MAIN STREET,ISELIN,NJ,08830,LUXURY/LIMOUSINE,40.5744524,-74.3170096,07/12/2023,18:00:13,"(40.5744524, -74.3170096)"
B02245,OCEANA CAR AND LIMO,7183751001,No,2395,CONEY ISLAND AVENUE,BROOKLYN,NY,11223,LIVERY BASE,40.598608,-73.96108,07/12/2023,18:00:13,"(40.598608, -73.96108)"
B00412,NYC 2 WAY INTERNATIONAL LTD,7186433900,No,241,37TH STREET  STE#1-4-B443,BROOKLYN,NY,11232,BLACK CAR BASE,40.678782,-73.98998,07/12/2023,18:00:13,"(40.678782, -73.98998)"
B03229,FVR TRANSPORTATION INC.,9179295146,No,1379,WHITE PLAINS ROAD  #301,BRONX,NY,10462,BLACK CAR BASE,40.8353132,-73.8634416,07/12/2023,18:00:13,"(40.8353132, -73.8634416)"
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,7184934307,No,5924,GLENWOOD ROAD,BROOKLYN,NY,11234,LIVERY BASE,40.675021,-73.93308,07/12/2023,18:00:13,"(40.675021, -73.93308)"
B03227,NY MERENGUE TRANSPORTATION INC,9292187080,No,135-10,JAMAICA AVENUE,RICHMOND HILL,NY,11418,BLACK CAR BASE,40.7022101,-73.8172631,07/12/2023,18:00:13,"(40.7022101, -73.8172631)"
B90662,MAYOOR TRANSPORTATION INC.,9142354700,No,498,MAIN STREET  SUITE 4,NEW ROCHELLE,NY,10801,PARATRANSIT BASE,40.908868,-73.781264,07/12/2023,18:00:13,"(40.908868, -73.781264)"
B03417,MZ RIDE LLC,8444449957,No,311,N CENTRAL AVE  SUIT # 1,VALLEY STREAM,NY,11580,LUXURY/LIMOUSINE,40.6765024,-73.7090811,07/12/2023,18:00:13,"(40.6765024, -73.7090811)"
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,7184600888,No,130-30,31 AVENUE  SUITE 801,FLUSHING,NY,11354,LIVERY BASE,40.76995,-73.83898,07/12/2023,18:00:13,"(40.76995, -73.83898)"
B02152,"KYOEI LIMOUSINE, INC.",2129490868,No,57-48,MASPETH AVENUE,MASPETH,NY,11378,LUXURY/LIMOUSINE,40.722961,-73.91031,07/12/2023,18:00:13,"(40.722961, -73.91031)"
B01051,B Q N C/S CORP,7183281111,No,1104,GARRISON AVENUE,BRONX,NY,10474,LIVERY BASE,40.819497,-73.88907,07/12/2023,18:00:13,"(40.819497, -73.88907)"
B02724,"CORE CAR, INC",2033483199,No,30,COMMERCE ROAD,STAMFORD,CT,06902,LUXURY/LIMOUSINE,41.046382,-73.56163,07/12/2023,18:00:13,"(41.046382, -73.56163)"
B03477,FAWA SERVICE CORPORATION,9172617100,No,188,AUDUBON AVENUE,NEW YORK,NY,10033,BLACK CAR BASE,40.8446417,-73.9355678,07/12/2023,18:00:13,"(40.8446417, -73.9355678)"
B03185,G&J LUXURY TRANSPORTATION INC,7189134454,No,7,SKYLINE DRIVE  SUITE 350,HAWTHORNE,NY,10532,BLACK CAR BASE,41.0904852,-73.813189,07/12/2023,18:00:13,"(41.0904852, -73.813189)"
B03333,ABSOLUTE CAR SERVICE CORP.,7187929222,No,729,BURKE AVENUE  SUITE - A,BRONX,NY,10467,BLACK CAR BASE,40.8716488,-73.8656205,07/12/2023,18:00:13,"(40.8716488, -73.8656205)"
B03379,SEGURA EXECUTIVE TRANSPORTATION CORP.,7187499555,No,82-37A,164 TH STREET,JAMAICA,NY,11432,BLACK CAR BASE,40.7648,-73.9808,07/12/2023,18:00:13,"(40.7648, -73.9808)"
B03485,A & B LIMO NY LLC,9293939969,No,82,WHALEY AVE,BETHPAGE,NY,11714,LUXURY/LIMOUSINE,40.7311846,-73.4823532,07/12/2023,18:00:13,"(40.7311846, -73.4823532)"
B03443,SILK ROAD LIMOUSINE LLC,3477592346,No,2348,LANCASTER AVE,EAST MEADOW,NY,11554,LUXURY/LIMOUSINE,40.7177055,-73.5550325,07/12/2023,18:00:13,"(40.7177055, -73.5550325)"
B90139,"APPLE HOME CARE,LTD.",7183721717,No,100-02,FARRAGUT ROAD,BROOKLYN,NY,11236,PARATRANSIT BASE,40.651866,-73.895856,07/12/2023,18:00:13,"(40.651866, -73.895856)"
B03113,MIKE'S VIP TRANSPORTATION INC.,7186994322,No,8652,WOODHAVEN BLVD,WOODHAVEN,NY,11421,BLACK CAR BASE,40.6939553,-73.8528373,07/12/2023,18:00:13,"(40.6939553, -73.8528373)"
B03484,MIXTECA USA INC,9292711915,No,469,53 STREET,BROOKLYN,NY,11220,BLACK CAR BASE,40.6438861,-74.0123697,07/12/2023,18:00:13,"(40.6438861, -74.0123697)"
B00597,WAKEFIELD LSG MAINT CORP,7183258663,No,4632,WHITE PLAINS ROAD  1ST FLOOR,BRONX,NY,10470,LIVERY BASE,40.903259,-73.849586,07/12/2023,18:00:13,"(40.903259, -73.849586)"
B03369,VIDA CAR SERVICE INC,8576158729,No,416,EAST  176 STREET  STE 2E,BRONX,NY,10457,BLACK CAR BASE,40.846485,-73.9007558,07/12/2023,18:00:13,"(40.846485, -73.9007558)"
B03197,LIMO TRIBE INC,5166617921,No,2500,7TH STREET,EAST MEADOW,NY,11554,LUXURY/LIMOUSINE,40.7163042,-73.549529,07/12/2023,18:00:13,"(40.7163042, -73.549529)"
B03523,"AVENTUS RIDE, INC",7182184422,No,2825,THIRD AVENUE  SUITE C5,BRONX,NY,10455,BLACK CAR BASE,40.8158019,-73.9184149,07/12/2023,18:00:13,"(40.8158019, -73.9184149)"
B02846,DLS TRANSPORTATION CORP.,7182850357,No,914,SOUNDVIEW AVENUE  2ND FL,BRONX,NY,10473,BLACK CAR BASE,40.823574,-73.867859,07/12/2023,18:00:13,"(40.823574, -73.867859)"
B00965,BEN JEVO MGT. INC.,7184422277,No,2,TOMPKINS AVENUE,STATEN ISLAND,NY,10304,LIVERY BASE,40.624172,-74.07967,07/12/2023,18:00:13,"(40.624172, -74.07967)"
B02406,MY SEDAN LLC,2124340400,No,700,ROCKWAY TURNPIKE  SUITE # 202,LAWRENCE,NY,11559,LUXURY/LIMOUSINE,40.753913,-73.986417,07/12/2023,18:00:13,"(40.753913, -73.986417)"
B03262,ROYALTY FAMILY CORP,9178310354,No,2268,AMSTERDAM AVENUE,NEW YORK,NY,10032,BLACK CAR BASE,40.8428663,-73.934955,07/12/2023,18:00:13,"(40.8428663, -73.934955)"
B01717,HIGH CLASS BRONX LIMO C/S CORP,7189331111,No,2269,HAMPDEN PLACE,BRONX,NY,10468,LIVERY BASE,40.861378,-73.91125,07/12/2023,18:00:13,"(40.861378, -73.91125)"
B03202,JUPITER SELECT LLC,7184992222,No,294,20TH STREET,BROOKLYN,NY,11215,BLACK CAR BASE,40.6607136,-73.9911654,07/12/2023,18:00:13,"(40.6607136, -73.9911654)"
B02256,"EUROPE LIMOUSINE SERVICE, INC.",2014773200,No,24,FARVIEW TERRACE,PARAMUS,NJ,07652,BLACK CAR BASE,40.922042,-74.069773,07/12/2023,18:00:13,"(40.922042, -74.069773)"
B01341,A NEW DAY RAD DISP INC,2122286666,No,84,CLINTON STREET,NEW YORK,NY,10002,LIVERY BASE,40.718549,-73.98515,07/12/2023,18:00:13,"(40.718549, -73.98515)"
B03073,"TRANSMEDI, LLC",7187472777,No,152 - 53,10 AVENUE  STE 217,WHITESTONE,NY,11357,BLACK CAR BASE,40.7935596,-73.8083166,07/12/2023,18:00:13,"(40.7935596, -73.8083166)"
B00084,AUTOMOTIVE SVC SYSTEM INC,2129666400,No,50-21,49 STREET,WOODSIDE,NY,11377,LUXURY/LIMOUSINE,40.736268,-73.916901,07/12/2023,18:00:13,"(40.736268, -73.916901)"
B03325,SSA 77 CAR AND LIMO INC,7184913636,No,507A,77TH STREET,BROOKLYN,NY,11209,BLACK CAR BASE,40.6278947,-74.0228953,07/12/2023,18:00:13,"(40.6278947, -74.0228953)"
B03015,TRI-COUNTY BLACK CARS INC,7188460747,No,86-29,102 STREET,RICHMOND HILL,NY,11418,BLACK CAR BASE,40.6954857,-73.8453463,07/12/2023,18:00:13,"(40.6954857, -73.8453463)"
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,7188716800,No,2300 WEST,7TH STREET,BROOKLYN,NY,11223,LIVERY BASE,40.634321,-73.992234,07/12/2023,18:00:13,"(40.634321, -73.992234)"
B03077,MGL TRANSPORT01 INC,7185095229,No,38,LINDEN AVENUE,HEMPSTEAD,NY,11550,BLACK CAR BASE,40.6971539,-73.6240911,07/12/2023,18:00:13,"(40.6971539, -73.6240911)"
B90334,TAMAR TRANSP CORP,7183681111,No,601,BRIGHTON BEACH_AVE,BROOKLYN,NY,11235,PARATRANSIT BASE,40.577898,-73.961479,07/12/2023,18:00:13,"(40.577898, -73.961479)"
B03256,JETSET TRANSPORTATION CORP.,3475667735,No,390,TIFFANY STREET,BRONX,NY,10474,BLACK CAR BASE,40.8078557,-73.889397,07/12/2023,18:00:13,"(40.8078557, -73.889397)"
B03119,CHINA TRANSIT LLC.,6462349911,No,774,53 STREET,BROOKLYN,NY,11220,BLACK CAR BASE,40.6394853,-74.0060007,07/12/2023,18:00:13,"(40.6394853, -74.0060007)"
B01312,BROOKLYN RADIO DISPATCHER INC,7183844444,No,95-11,JAMAICA AVENUE,WOODHAVEN,NY,11421,LIVERY BASE,40.714797,-73.959738,07/12/2023,18:00:13,"(40.714797, -73.959738)"
B01288,NEW ELEGANTE CAR SVC INC,7183283333,No,1804,RANDALL AVENUE,BRONX,NY,10473,LIVERY BASE,40.816803,-73.862557,07/12/2023,18:00:13,"(40.816803, -73.862557)"
B03500,GO CAR CORP,7183877777,No,670,FLUSHING AVENUE  219,BROOKLYN,NY,11206,BLACK CAR BASE,40.700013,-73.9460088,07/12/2023,18:00:13,"(40.700013, -73.9460088)"
B01340,UNICAR COMPANY INC,7183284444,Yes,2112,WESTCHESTER AVENUE,BRONX,NY,10462,LIVERY BASE,40.82923,-73.871067,07/12/2023,18:00:13,"(40.82923, -73.871067)"
B02956,W.K.EXPRESS LIMO SERVICE INC,7182747888,No,1206,60 STREET,BROOKLYN,NY,11219,BLACK CAR BASE,40.712007,-73.99515,07/12/2023,18:00:13,"(40.712007, -73.99515)"
B03228,LIQUID FOX TRANSPORTATION CORP.,9179629640,No,605,EAST  132 STREET,BRONX,NY,10454,BLACK CAR BASE,40.802559,-73.9188209,07/12/2023,18:00:13,"(40.802559, -73.9188209)"
B02853,SAFE RIDES CAR & LIMO SERVICES INC,3479832800,No,5488,AMBOY ROAD  SUITE 3,STATEN ISLAND,NY,10312,BLACK CAR BASE,40.511457,-74.241468,07/12/2023,18:00:13,"(40.511457, -74.241468)"
B02832,NYC FLY WHEELS INC.,7184231111,No,208-01,NORTHERN BOULEVARD  SUITE #4B,BAYSIDE,NY,11361,LIVERY BASE,40.759035,-73.775438,07/12/2023,18:00:13,"(40.759035, -73.775438)"
B02401,NORTHSIDE BK LLC,7189634444,No,207,BEDFORD AVENUE,BROOKLYN,NY,11211,BLACK CAR BASE,40.716862,-73.958563,07/12/2023,18:00:13,"(40.716862, -73.958563)"
B02920,AMAZING CAR AND LIMO SERVICE INC,7189425959,No,1903,WEST FARMS RD,BRONX,NY,10460,LIVERY BASE,40.6056459,-74.0086477,07/12/2023,18:00:13,"(40.6056459, -74.0086477)"
B02219,ALL QUEENS CAR & LIMOUSINE INC.,7183921234,Yes,46-17,VERNON BOULEVARD,LIC,NY,11101,LIVERY BASE,40.74628,-73.95263,07/12/2023,18:00:13,"(40.74628, -73.95263)"
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,7184439600,No,1072,BROADWAY AVE,BKLYN,NY,11221,BLACK CAR BASE,40.694521,-73.93158,07/12/2023,18:00:13,"(40.694521, -73.93158)"
B01013,AMERICANA TRANSPORTATION LLC,7184491111,No,282,AVENUE U,BROOKLYN,NY,11223,LIVERY BASE,40.596741,-73.97373,07/12/2023,18:00:13,"(40.596741, -73.97373)"
B02838,THA MAYA CAR SERVICE INC,9175645451,No,6121,17 AVENUE,BROOKLYN,NY,11204,BLACK CAR BASE,40.622281,-73.99041,07/12/2023,18:00:13,"(40.622281, -73.99041)"
B00802,BELL CAR SVC INC,7188332929,No,405,51 STREET,BROOKLYN,NY,11220,LIVERY BASE,40.645794,-74.012777,07/12/2023,18:00:13,"(40.645794, -74.012777)"
B01268,LAKEVIEW CARS INC.,7184420001,No,1113,VICTORY BOULEVARD,STATEN ISLAND,NY,10301,LIVERY BASE,40.617782,-74.101897,07/12/2023,18:00:13,"(40.617782, -74.101897)"
B03303,MOTA LUXURY CORP.,9179942332,No,96-14,101 AVENUE,JAMAICA,NY,11416,BLACK CAR BASE,40.6845437,-73.8444022,07/12/2023,18:00:13,"(40.6845437, -73.8444022)"
B03267,MANGA TRANSPORTATION CORP,3472593779,No,903,SHERIDAN AVE  2ND FLOOR,BRONX,NY,10451,BLACK CAR BASE,40.8270008,-73.9209595,07/12/2023,18:00:13,"(40.8270008, -73.9209595)"
B03213,PRIMARY TRANSPORTATION CORP,7188922020,No,3451,EAST TREMONT AVENUE,BRONX,NY,10465,BLACK CAR BASE,40.8323624,-73.8273711,07/12/2023,18:00:13,"(40.8323624, -73.8273711)"
B02760,VISMAR RADIO DISPATCH INC.,9174737777,No,1040-52,FREEMAN STREET,BRONX,NY,10459,LIVERY BASE,40.828466,-73.88637,07/12/2023,18:00:13,"(40.828466, -73.88637)"
B01061,DAT RADIO DISP INC,7183288888,No,650,SOUNDVIEW AVENUE,BRONX,NY,10473,LIVERY BASE,40.818455,-73.862707,07/12/2023,18:00:13,"(40.818455, -73.862707)"
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,3479916111,No,2112,WESTCHESTER AVENUE,BRONX,NY,10462,BLACK CAR BASE,40.82923,-73.871067,07/12/2023,18:00:13,"(40.82923, -73.871067)"
B02901,GALLANT LUXURY SERVICE CORP.,2123040707,No,5030,BROADWAY  SUITE 804,NEW YORK,NY,10034,BLACK CAR BASE,40.86885,-73.91664,07/12/2023,18:00:13,"(40.86885, -73.91664)"
B03423,VETS CAR SERVICE INC,8456947004,No,557,NORTH MACQUESTEN PARKWAY,MOUNT VERNON,NY,10552,BLACK CAR BASE,40.9239644,-73.8412231,07/12/2023,18:00:13,"(40.9239644, -73.8412231)"
B02534,DV LUXURY TRANSPORTATION CORPORATION,7186198970,No,1313,PROSPECT AVENUE,BRONX,NY,10459,BLACK CAR BASE,40.828071,-73.898435,07/12/2023,18:00:13,"(40.828071, -73.898435)"
B03494,NYC WHEELS CAR SERVICE INC.,3472253700,No,1656,EAST 15TH STREET,BROOKLYN,NY,11229,BLACK CAR BASE,40.6089032,-73.9584378,07/12/2023,18:00:13,"(40.6089032, -73.9584378)"
B03299,WHITE TOP CAR SVCE INC,7187746661,No,1111,ST JOHNS PLACE,BROOKLYN,NY,11213,BLACK CAR BASE,40.6712938,-73.9412512,07/12/2023,18:00:13,"(40.6712938, -73.9412512)"
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,7182777777,No,3440,ATLANTIC AVENUE,BROOKLYN,NY,11208,LIVERY BASE,40.679483,-73.886635,07/12/2023,18:00:13,"(40.679483, -73.886635)"
B03351,CARTEL NEW YORK INC.,3472730304,No,162-13,46TH AVENUE  #3B,FLUSHING,NY,11358,BLACK CAR BASE,40.7489309,-73.7568201,07/12/2023,18:00:13,"(40.7489309, -73.7568201)"
B03418,RIDE IN STYLE LIMO INC.,9294000719,No,83,ANCHOR LANE,LEVITTOWN,NY,11756,BLACK CAR BASE,40.7116925,-73.5099533,07/12/2023,18:00:13,"(40.7116925, -73.5099533)"
B03214,MALIBU CAR SERVICE INC.,6466714360,No,1231,LAFAYETTE AVENUE  L2,BRONX,NY,10474,BLACK CAR BASE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B02331,"CHICO EXPRESS LIMO, INC.",7182367777,No,6318,14 AVENUE,BROOKLYN,NY,11219,BLACK CAR BASE,40.625609,-73.998684,07/12/2023,18:00:13,"(40.625609, -73.998684)"
B02303,MINEOLA TRANSPORTATION INC.,9178595195,No,1267,ATLANTIC AVENUE,BROOKLYN,NY,11216,BLACK CAR BASE,40.678709,-73.948652,07/12/2023,18:00:13,"(40.678709, -73.948652)"
B00280,FLEET RADIO DISPATCH CORP.,7186517300,No,55,NORTH CENTRAL AVENUE,VALLEY STREAM,NY,11580,BLACK CAR BASE,40.749922,-73.903309,07/12/2023,18:00:13,"(40.749922, -73.903309)"
B01871,"ALPINE LIMOUSINE SERVICE, INC.",2013739599,No,1155,HILLSBORO MILE  SUITE 108,HILLSBORO BEACH,FL,33062,LUXURY/LIMOUSINE,40.901645,-74.070797,07/12/2023,18:00:13,"(40.901645, -74.070797)"
B03173,ABIAN TRANSPORTATION INC.,7188797070,No,1441 - 49,E L GRANT HIGHWAY,BRONX,NY,10452,BLACK CAR BASE,40.8428852,-73.923276,07/12/2023,18:00:13,"(40.8428852, -73.923276)"
B03108,NEW ADAM LUXURY CORP.,3477011051,No,565,4 AVENUE,BROOKLYN,NY,11215,BLACK CAR BASE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B80276,GOGO BUS TOURS INC,9178071358,No,4315,8 AVENUE,BROOKLYN,NY,11232,COMMUTER VAN AUTHORITY BASE,40.644539,-73.9997394,07/12/2023,18:00:13,"(40.644539, -73.9997394)"
B03016,BEST DEAL BLACK INC.,7185155555,No,757 A,BURKE AVENUE,BRONX,NY,10467,BLACK CAR BASE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B03413,WAV TRANSPORTATION GROUP LTD,7188664108,No,336,KINGS HWY,BROOKLYN,NY,11223,BLACK CAR BASE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B02050,"MAZIN  CAR & LIMO SVC., LLC",7188450577,No,125-01,LIBERTY AVENUE,RICHMOND HILL,NY,11419,LIVERY BASE,40.688403,-73.819306,07/12/2023,18:00:13,"(40.688403, -73.819306)"
B03486,OCCSER LLC,3478750005,No,132 1/2,CENTER STREET,SHELTON,CT,06484,BLACK CAR BASE,41.31521,-73.094917,07/12/2023,18:00:13,"(41.31521, -73.094917)"
B03233,COMPASS TRANSPORTATION GROUP WORLDWIDE INC,6468689027,No,1040,HEMPSTEAD TURNPIKE  LL2,FRANKLIN SQUARE,NY,11010,LUXURY/LIMOUSINE,40.708003,-73.6786779,07/12/2023,18:00:13,"(40.708003, -73.6786779)"
B01338,3210 WEBSTER AV PRESTIGE C/S,7187987700,No,3108,WEBSTER AVENUE,BRONX,NY,10467,LIVERY BASE,40.871011,-73.87645,07/12/2023,18:00:13,"(40.871011, -73.87645)"
B01984,NY 88 EXPRESS CORP.,7182388822,No,6506,11 AVENUE,BROOKLYN,NY,11219,LIVERY BASE,40.628543,-74.006362,07/12/2023,18:00:13,"(40.628543, -74.006362)"
B02947,"ONIX TRANSPORTATION, INC",7189181888,No,73,MARKET STREET  3RD FLOOR,YONKERS,NY,10710,BLACK CAR BASE,40.851497,-73.827653,07/12/2023,18:00:13,"(40.851497, -73.827653)"
B02003,"AVALON CORPORATE CAR,INC.",7184383666,No,41-24,38 STREET,LIC,NY,11101,BLACK CAR BASE,40.638477,-73.983333,07/12/2023,18:00:13,"(40.638477, -73.983333)"
B03174,NEW HEAVEN LUXURY INC,2129231313,No,1059,ST NICHOLAS AVENUE,NEW YORK,NY,10032,BLACK CAR BASE,40.8366714,-73.9403354,07/12/2023,18:00:13,"(40.8366714, -73.9403354)"
B03479,ALL YOU NEED TRANSPORTATION CORP,9782301486,No,1768,EAST  172 STREET,BRONX,NY,10472,BLACK CAR BASE,40.8326359,-73.8681738,07/12/2023,18:00:13,"(40.8326359, -73.8681738)"
B02461,NEW HEAVEN RADIO DISPATCH CORP,2129231212,No,1059,ST NICHOLAS AVENUE,NYC,NY,10032,LIVERY BASE,40.836953,-73.94037,07/12/2023,18:00:13,"(40.836953, -73.94037)"
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",7183517273,No,2041-D,HYLAN BOULEVARD,STATEN ISLAND,NY,10306,LUXURY/LIMOUSINE,40.580669,-74.09968,07/12/2023,18:00:13,"(40.580669, -74.09968)"
B00277,ALL CITY CORP TRANS INC,7182925100,No,41-24,38 STREET,LIC,NY,11101,BLACK CAR BASE,40.638477,-73.983333,07/12/2023,18:00:13,"(40.638477, -73.983333)"
B01079,THE METRO MARINE CAR SERVICE INC,7187455555,No,9425,5 AVENUE,BROOKLYN,NY,11209,LIVERY BASE,40.618621,-74.030267,07/12/2023,18:00:13,"(40.618621, -74.030267)"
B03057,PROSPECT LUXURY CAR SERVICE,9294003838,No,1161,SOUTHERN BOULEVARD,BRONX,NY,10459,BLACK CAR BASE,40.8280717,-73.8922125,07/12/2023,18:00:13,"(40.8280717, -73.8922125)"
B02133,"TWR CAR & LIMO, INC.",7186432200,No,241,37TH STREET  STE# 1-4-B460,BROOKLYN,NY,11232,BLACK CAR BASE,40.678782,-73.989979,07/12/2023,18:00:13,"(40.678782, -73.989979)"
B03285,FLUSHING LIMOUSINE TRANSPORTATION SERVICE CORP.,7183581111,No,3609,164 STREET,FLUSHING,NY,11358,BLACK CAR BASE,40.762434,-73.8016919,07/12/2023,18:00:13,"(40.762434, -73.8016919)"
B02826,NEW BELL LUXURY CORP,7182304490,No,640,MYRTLE AVENUE,BROOKLYN,NY,11205,BLACK CAR BASE,40.694109,-73.958852,07/12/2023,18:00:13,"(40.694109, -73.958852)"
B03158,SPOTON.PET LLC,8334776866,No,77,SANDS STREET,BROOKLYN,NY,11201,BLACK CAR BASE,40.7003159,-73.987231,07/12/2023,18:00:13,"(40.7003159, -73.987231)"
B02641,AVENUE X CAR SERVICE INC.,7183365200,No,245,AVENUE X,BROOKLYN,NY,11223,LIVERY BASE,40.590312,-73.97371,07/12/2023,18:00:13,"(40.590312, -73.97371)"
B03469,BINGO TRANSIT INC,9172172897,No,74,OLD FARM ROAD,LEVITTOWN,NY,11756,BLACK CAR BASE,40.7325432,-73.5323959,07/12/2023,18:00:13,"(40.7325432, -73.5323959)"
B02550,AGAPE LUXURY CORP.,9173090202,No,560,SOUTHERN BOULEVARD,BRONX,NY,10455,BLACK CAR BASE,40.812094,-73.90301,07/12/2023,18:00:13,"(40.812094, -73.90301)"
B03426,CONCINNITY TRANSPORTATION GROUP INC,9179169289,No,3370,PRINCE STREET  202,FLUSHING,NY,11354,BLACK CAR BASE,40.7646429,-73.8336861,07/12/2023,18:00:13,"(40.7646429, -73.8336861)"
